event_id,expedition_id,sequence,trajectory_id,subject_type,subject_label,event_type,origin_node,destination_node,date_from,date_to,date_precision,variant_group,preferred_for_simulation,evidence_grade,evidence_scope,source_id,notes
CABRAL1500_E01,EXP_CABRAL_1500,1,MAIN_FLEET,FLEET,Armada de Pedro Álvares Cabral,VESSEL_LOST_CONTACT,LIS,VCR,1500-03-23,1500-03-23,EXACT,,TRUE,A,NODE_DIRECT,CAMINHA_1500_ANTT|OLIVEIRA_COSTA_CABRAL_1500,"Vasco de Ataíde perde contato com a armada durante a travessia atlântica; o evento não cria mecânica genérica de desaparecimento."
CABRAL1500_E02,EXP_CABRAL_1500,2,LEMOS_RETURN,VESSEL_AND_COMMANDER,Gaspar de Lemos,DISPATCH_TO_CROWN,VCR,LIS,1500-05-02,1500-06-30,RANGE,,TRUE,A,NODE_DIRECT,CAMINHA_1500_ANTT|OLIVEIRA_COSTA_CABRAL_1500,"Navio de mantimentos regressa ao reino levando cartas e objetos; a chegada em Lisboa em junho torna a notícia de Vera Cruz disponível à Coroa antes da partida de João da Nova."
CABRAL1500_E03,EXP_CABRAL_1500,3,MAIN_FLEET,FLEET,Armada principal,VESSEL_LOSS,VCR,CGH,1500-05-23,1500-05-24,RANGE,CABRAL_CAPE_LOSSES_1500,TRUE,A,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500,"Quatro embarcações são perdidas no temporal associado à passagem do Cabo; a primeira tranche registra o resultado documental sem sistema geral de naufrágio."
CABRAL1500_E04,EXP_CABRAL_1500,4,DIOGO_DIAS_SPLIT,VESSEL_AND_COMMANDER,Diogo Dias,TRAJECTORY_SPLIT,VCR,CGH,1500-05-23,1500-05-24,RANGE,,TRUE,A,NODE_DIRECT,CAMINHA_1500_ANTT|OLIVEIRA_COSTA_CABRAL_1500,"Diogo Dias separa-se do núcleo principal; sua trajetória posterior permanece documental nesta tranche."
CABRAL1500_E05,EXP_CABRAL_1500,5,MAIN_FLEET,INSTITUTION,Feitoria portuguesa de Calecute,LOCAL_INSTITUTION_LOST,CAL,CAL,1500-12-17,1500-12-18,RANGE,,TRUE,A,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500|SUBRAHMANYAM_PEA,"A ruptura em Calecute elimina a presença institucional portuguesa local; o estado relacional passa a ser hostil sem criar combate genérico."
CABRAL1500_E06,EXP_CABRAL_1500,6,MAIN_FLEET,INSTITUTION,Presença portuguesa em Cochim,LOCAL_INSTITUTION_ESTABLISHED,COC,COC,1501-01-01,1501-01-09,RANGE,,TRUE,A,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500|EVE_COCHIN,"Cabral deixa Gonçalo Gil Barbosa e outros residentes em Cochim; a instituição não altera soberania local."
CABRAL1500_E07,EXP_CABRAL_1500,7,MAIN_FLEET,PORT,Cananor,PORT_CONTACT,COC,CAN,1501-01-15,1501-01-15,EXACT,,TRUE,A,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500|EVE_CANNANORE,"Contato favorável em Cananor antes da torna-viagem; a feitoria permanente ainda não é retroprojetada."
CABRAL1500_E08,EXP_CABRAL_1500,8,MAIN_FLEET,NAVIGATION_SUPPORT,Dois pilotos guzerates,PILOTS_PROVIDED,MAL,MAL,1500-08-06,1500-08-06,EXACT,,TRUE,A,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500,"O rei de Melinde fornece dois pilotos guzerates à armada. O evento preserva a pluralidade documentada; não reutiliza o piloto de 1498 nem cria um piloto coletivo operacional antes de normalizar a rota que efetivamente guiaram."
NOVA1501_E01,EXP_JOAO_NOVA_1501,1,MAIN_FLEET,INFORMATION,Aviso deixado pela armada de Cabral,INFORMATION_ACQUISITION,SBR,SBR,1501-05-01,1501-08-31,RANGE,,TRUE,B,NODE_DIRECT,DEFESA_JNOVA_1501,"Em São Brás a armada adquire informação sobre a ruptura em Calecute e sobre Cochim/Cananor; o evento altera conhecimento da expedição, não o estado objetivo dos portos."
NOVA1501_E02,EXP_JOAO_NOVA_1501,2,MAIN_FLEET,INSTITUTION,Feitoria portuguesa de Cananor,LOCAL_INSTITUTION_ESTABLISHED,CAN,CAN,1501-12-01,1501-12-31,RANGE,,TRUE,B,NODE_DIRECT,EVE_CANNANORE|DEFESA_JNOVA_1501,"Presença institucional residente é estabelecida em Cananor ao fim de 1501; pela regra conservadora, o efeito só é considerado adquirido no limite superior da janela. Não implica fortificação ou soberania portuguesa."
NOVA1501_E03,EXP_JOAO_NOVA_1501,3,MAIN_FLEET,FLEET,Esquadra de Calecute,NAVAL_BLOCKADE_BEGINS,CAN,CAN,1501-12-30,1501-12-30,EXACT,,TRUE,B,NODE_DIRECT,DEFESA_JNOVA_1501,"Em 30/12/1501, quando a armada portuguesa estava em Cananor pronta para iniciar o retorno, uma grande esquadra de Calecute bloqueia a saída. Este registro fixa apenas o início documental do bloqueio; a resolução posterior permanece intervalo e não cria sistema geral de combate."
NOVA1502_E04,EXP_JOAO_NOVA_1501,4,MAIN_FLEET,FLEET,Armada de João da Nova,NAVAL_BLOCKADE_ENDS,CAN,CAN,1502-01-02,1502-01-02,EXACT,,TRUE,B,NODE_DIRECT,DEFESA_JNOVA_1501,"A perseguição/combate iniciado após o bloqueio de Cananor termina em 02/01/1502. O evento registra somente o desfecho documental específico e não cria mecânica geral de combate nem fixa a partida transoceânica nessa data."
GAMA1502_E01,EXP_GAMA_1502,1,MAIN_FLEET,INSTITUTION,Feitoria portuguesa de Cochim,INSTITUTION_REORGANIZED,COC,COC,1502-11-01,1502-12-31,RANGE,,TRUE,A,NODE_DIRECT,EVE_COCHIN|CANAVARRO_GGB_2000,"Diogo Fernandes Correia substitui Gonçalo Gil Barbosa em Cochim; a mudança é institucional e não territorial."
GAMA1502_E02,EXP_GAMA_1502,2,MAIN_FLEET,INSTITUTION,Feitoria portuguesa de Cananor,INSTITUTION_REORGANIZED,CAN,CAN,1502-11-01,1502-12-31,RANGE,,TRUE,A,NODE_DIRECT,EVE_CANNANORE|CANAVARRO_GGB_2000,"Gonçalo Gil Barbosa passa a feitor de Cananor em 1502."
GAMA1502_E03,EXP_GAMA_1502,3,SODRE_FORCE,FLEET,Força naval de Vicente Sodré,FORCE_REMAINS,CAN,COC,1503-01-01,1503-03-31,RANGE,,TRUE,B,NODE_DIRECT,SUBRAHMANYAM_PEA,"A força sob Vicente Sodré permanece no Índico quando Vasco da Gama regressa; será tratada como subcampanha separada, não como segunda frota ativa no mesmo save."
