observation_id,route_id,departure_node,arrival_node,departure_date,arrival_date,observed_days,observation_scope,evidence_grade,source_id,notes
GAMA1497_LIS_CGH_SUB,R_LIS_CGH,LIS,CGH,1497-07-08,1497-11-19,134,AGGREGATED_VOYAGE_LEG,A,SUBRAHMANYAM_PEA,"Subrahmanyam registra saída do Tejo em 8 de julho e chegada ao Cabo da Boa Esperança em 19 de novembro de 1497. Preservada como observação historiográfica agregada; a rota estratégica não é a perna executável da campanha segmentada."
GAMA1497_LIS_STG_ROT,R_LIS_STG,LIS,STG,1497-07-08,1497-07-27,19,VOYAGE_LEG,A,ROTEIRO_GAMA_1497,"O Roteiro registra a saída em 8 de julho e a chegada a São Thiago na quinta-feira identificada editorialmente como 27 de julho. A data de chegada deve ser lida com a cautela editorial indicada na fonte."
GAMA1497_STG_SHB_ROT,R_STG_SHB,STG,SHB,1497-08-03,1497-11-07,96,VOYAGE_LEG,B,ROTEIRO_GAMA_1497,"Partida de São Thiago em 3 de agosto; retorno à costa na baía de Santa Helena em novembro. A chegada de 7 de novembro é reconstrução editorial da edição Ravenstein."
GAMA1497_SHB_CGH_ROT,R_SHB_CGH,SHB,CGH,1497-11-16,1497-11-22,6,VOYAGE_LEG,B,ROTEIRO_GAMA_1497,"A armada deixou a baía de Santa Helena em 16 de novembro; o Roteiro registra avistamento do Cabo em 18, tentativa frustrada em 19 e dobragem em 22 de novembro, esta última com data editorial."
GAMA1497_CGH_SBR_ROT,R_CGH_SBR,CGH,SBR,1497-11-22,1497-11-25,3,VOYAGE_LEG,B,ROTEIRO_GAMA_1497,"Da dobragem do Cabo à entrada na angra de São Brás; datas calendarizadas dependem em parte da reconstrução editorial."
GAMA1497_SBR_RCO_ROT,R_SBR_RCO,SBR,RCO,1497-12-08,1498-01-11,34,VOYAGE_LEG,B,ROTEIRO_GAMA_1497,"Duração derivada da cronologia reconstruída na edição Ravenstein. A identificação moderna do Rio do Cobre é espacialmente incerta."
GAMA1498_RCO_RBS_ROT,R_RCO_RBS,RCO,RBS,1498-01-16,1498-01-24,8,VOYAGE_LEG,B,ROTEIRO_GAMA_1497,"Trecho entre Rio do Cobre e Rio dos Bons Sinais segundo a cronologia reconstruída pelo editor."
GAMA1498_RBS_MOZ_ROT,R_RBS_MOZ,RBS,MOZ,1498-02-24,1498-03-02,6,VOYAGE_LEG,B,ROTEIRO_GAMA_1497,"Saída do Rio dos Bons Sinais e chegada a Moçambique segundo datas reconstruídas na edição Ravenstein."
GAMA1498_MOZ_MOM_ROT,R_MOZ_MOM,MOZ,MOM,1498-03-29,1498-04-07,9,VOYAGE_LEG,B,ROTEIRO_GAMA_1497,"Duração baseada na cronologia editorial do Roteiro para a progressão entre Moçambique e Mombaça."
GAMA1498_MOM_MAL_ROT,R_MOM_MAL,MOM,MAL,1498-04-13,1498-04-14,1,VOYAGE_LEG,B,ROTEIRO_GAMA_1497,"A narrativa registra a saída de Mombaça e chegada a Melinde em dias identificados editorialmente como 13 e 14 de abril."
GAMA1498_MAL_CAL_SUB,R_MAL_CAL,MAL,CAL,1498-04-24,1498-05-21,27,VOYAGE_LEG,A,SUBRAHMANYAM_PEA,"Subrahmanyam registra partida de Melinde em 24 de abril e chegada a Calecute em 21 de maio de 1498. Usar como calibração, não como duração universal da rota."
GAMA1498_MAL_CAL_PRA,R_MAL_CAL,MAL,CAL,1498-04-24,1498-05-20,26,VOYAGE_LEG,A,PRAKASH_ECE,"Prakash registra a chegada de Gama a Calecute em 20 de maio de 1498. A divergência de um dia em relação a Subrahmanyam é preservada explicitamente."
